path,opening_type,story_score,actor,observable,stake,opening
docs/ai-native/index.md,definition/meta,1,0,0,1,"Pages in This Section | Page | Covers | |------|--------| |  Model Serving  model-serving.md  | Batching  static vs. continuous , KV cache, GPU autoscaling/cold starts, quantization, cost model | Out of scope for this site, by design:   context windows, scheduling, routing/gateways, RAG, hybrid search, reranking, embeddings, vector DBs, tools/agents, evals, guardrails, hallucination mitigation. That material lives in a dedicated AI engineering resource:  sanketn26.github.io/AIEngineering  https://sanketn26.github.io/AIEngineering/ . This section stays narrow on purpose —  Model Serving  model-serving.md  covers the systems/infra side of running models  batching, KV cache, autoscaling, cost  because that's squarely a distributed-systems problem, which is this site's lane. Application-layer AI engineering is a different discipline with its own resource. Next:    Model Serving →  model-serving.md"
docs/ai-native/model-serving.md,definition/meta,2,0,1,1,"Why This Exists A conventional REST API's cost model is roughly: more requests, more CPU, scale horizontally, done — each request is cheap, stateless, and independent. Serving a large model breaks every part of that assumption. A single inference request can occupy tens of gigabytes of GPU memory, take seconds instead of milliseconds, and produce output token-by-token rather than all at once. Treating model serving like ""a REST API that happens to call a model"" produces systems that either waste enormous GPU spend on underutilization or fall over the first time concurrent load actually arrives. The interview-relevant skill is understanding that model serving is fundamentally a   batching and memory management problem wearing an HTTP API's clothes.   Throughput and latency are in direct tension — batching more requests together raises GPU utilization and throughput but raises the latency of every request in that batch, because they all wait for the slowest one. Get that trade-off right and autoscaling, cost, and failure modes all follow logically. !!! tip ""Mental model"" A GPU running inference is like a   kitchen with one large oven that's only efficient when full.   Cooking one dish at a time wastes most of the oven's capacity — most of a modern GPU's compute goes idle serving one request, because it's memory-bandwidth bound, not compute bound, at batch size one. Cramming in more dishes  bigger batches  uses the oven efficiently, but now every dish waits for the slowest one to finish, and if you queue too many, the first orders get cold before they're served. The whole discipline of model serving is deciding how full to pack the oven and how long anyone's willing to wait for the batch to fill. Batching Strategies Static batching   — the naive approach: collect N requests, run them through the model together as one fixed-size batch, return all N results together. Simple, but the batch can't start until it's full  adds latency waiting to fill  and the whole batch is only as fast as its longest-generating request — a request needing 500 output tokens holds up 31 other requests that only needed 20. Dynamic / continuous batching    the vLLM-style approach that most production serving stacks now use  — requests join and leave the batch at the token-generation-step granularity, not per-request. As soon as one request finishes generating, its slot in the batch is immediately reused by the next waiting request, instead of waiting for the entire batch to complete. This turns a batch-of-32 that was previously bottlenecked by its slowest member into a rolling pipeline where GPU utilization stays high and no finished request's slot sits idle. KV cache management   — during autoregressive generation, each new token's attention computation needs the key/value tensors from every previous token in the sequence. Recomputing them from scratch each step would be enormously wasteful, so they're cached  the ""KV cache""  and reused. The catch: the KV cache grows linearly with sequence length and is held in GPU memory for the entire lifetime of a request — it's usually the actual constraint on how many concurrent requests fit on a GPU, not the model weights themselves. This is why techniques like   PagedAttention    allocating KV cache in non-contiguous, page-sized blocks, the same idea as OS virtual memory paging  matter: naive contiguous allocation fragments memory and wastes a large fraction of it, capping concurrency well below what the hardware could otherwise support. Request Flow Through a Model Server The loop back from GPU to batcher is the key structural difference from a stateless REST call: a single request occupies a slot across many iterations of this loop  one per output token , not one pass through. Autoscaling and Cold Starts"
docs/architecture-patterns/api-architectural-styles.md,definition/meta,1,1,0,0,"Why This Exists API Design  ../foundations/api-design.md  covers REST and GraphQL in depth — verb contracts, idempotency, over/under-fetching.  Microservices Communication  microservices-communication.md  covers  when to go synchronous vs. async  and picks gRPC as the synchronous internal default. Neither page puts all five styles you'll actually encounter — REST, GraphQL, gRPC, SOAP, and webhooks — side by side and asks the question an interviewer actually asks:   ""you have five options, why this one, for this caller?"" This page is that comparison. It doesn't re-derive REST or GraphQL mechanics  see  API Design  ../foundations/api-design.md  for that  — it's the decision layer on top, plus the two styles that page doesn't cover at all:   SOAP  , which you'll meet at any company with a 15-year-old enterprise integration, and   webhooks  , which every notification/payment/CI system in this repo already assumes exist but nothing has explained as a pattern with its own failure modes. !!! tip ""Mental Model"" Every style answers one question:   who initiates, and how much does the client get to shape the response? REST: client asks for a resource, server decides the shape. GraphQL: client asks for a resource, client decides the shape. gRPC: client calls a typed function, server executes it — not a resource model at all. SOAP: client calls a typed function too, but wrapped in a rigid, self-describing contract  WSDL  built for interop between organizations that don't trust each other's tooling. Webhooks: nobody ""calls"" anything — the   server   initiates, pushing to a client-provided URL when something happens. The Five Styles REST — resources, standard verbs"
docs/architecture-patterns/batch-etl-lambda-kappa.md,scene/hook,3,1,1,1,"Why This Exists Stream Processing  stream-processing.md  makes the case for computing continuously over unbounded data — but most data platforms don't run  only  streaming pipelines, and pretending batch is obsolete is its own mistake. A lot of real analytical work is naturally batch: a finance team's month-end reconciliation, a nightly model retraining job, a data warehouse load that only needs to be correct by 6 a.m.   Batch isn't a worse version of streaming — it's the right tool when latency doesn't matter and you want the operational simplicity of ""run it, verify it, done"" over the complexity of a system that runs forever. The actual design problem most data platforms face is:   you need both   — a low-latency path for the dashboards and alerts that can't wait until tomorrow, and a batch path for the deep, correctness-checked analytics that can. How you combine the two is what Lambda and Kappa architecture are competing answers to. Batch/ETL: The DAG Model A batch pipeline is a directed acyclic graph  DAG  of steps — extract data from sources, transform it, load it into a destination — orchestrated to run on a schedule or triggered by an upstream event  a file landing, an upstream job finishing . -   Orchestration    Airflow, Dagster, and similar tools  tracks the DAG's dependencies, retries failed steps, and enforces ordering — step 2 doesn't run until step 1 actually succeeded, not just ""probably finished by now."" This is the piece that turns ""a bunch of cron jobs""  which run on a schedule regardless of whether the upstream data was actually ready  into a real pipeline with correctness guarantees about ordering. -   Idempotent, re-runnable steps   are the same discipline as the idempotency pattern covered for remote calls in  Distributed Systems  ../distributed-systems/index.md idempotency-the-one-tool-that-makes-retries-safe  — a batch step needs to produce the same output whether it runs once or is re-run after a failure halfway through, because ""just re-run the DAG"" is the standard recovery mechanism, and it only works safely if re-running doesn't double-count or double-load data. -   Backfills   — reprocessing historical data after a bug fix or a schema change — are a first-class batch operation with no real streaming equivalent: you can rerun last month's DAG runs against corrected logic because the source data is still sitting there, bounded and unchanged. A pure streaming system has already processed and often discarded the raw events by the time a bug is found, which is why even heavily-streaming shops usually keep a batch/backfill path alive. !!! tip ""Batch isn't legacy — it's a latency/complexity trade you make on purpose"" The failure mode isn't ""using batch"" — it's using batch for something that actually needs sub-minute freshness  fraud scoring, live inventory  because streaming felt like more effort to build. The design question is always ""what does this specific pipeline's freshness requirement actually demand,"" the same discipline as picking a DR tier by RTO/RPO rather than defaulting to the most sophisticated option. Lambda Architecture: Batch and Streaming, Side by Side Lambda architecture is the original answer to ""I need both a correct historical view and a low-latency live view"":   run the same logic twice, in two separate systems, and merge the results at query time."
docs/architecture-patterns/crdts.md,definition/meta,2,0,1,1,"Why This Exists Problem: multiple writers, no leader, and you still need the data to converge. A single-leader database sidesteps the hard multi-writer problem by having exactly one place writes go — conflicts can't happen because there's only ever one writer to agree with. That works until you need writers who can't reach a leader: a laptop that's offline on a flight, a phone in airplane mode, or a genuinely multi-region system where routing every write to one region adds latency you can't afford. Multi-leader replication  see  DDIA Concepts  ../databases/ddia-concepts.md part-7-conflict-free-replicated-data-types-crdts   lets each region accept writes locally, but then two regions can concur on different values for the same field, and  something  has to resolve that conflict — last-write-wins, a merge function, or surfacing it to a human  a Git merge conflict . The DDIA page introduces this at a high level: LWW counters and vector clocks as motivating examples of why automatic merge is hard. This page goes one level deeper: CRDTs are a family of data structures engineered so that merge is not just automatic, but  mathematically guaranteed to converge  — no matter what order updates are applied in, no matter how many times a message is delivered twice, and without any coordination between replicas at write time.   That guarantee is what makes offline-first apps  Figma's multiplayer cursors, Notion's blocks, Redis CRDTs in Enterprise, Riak's data types  possible without a central arbiter. Mental Model: Convergent Merge, Not Conflict Resolution Think of two people independently editing the same shared shopping list on paper, each starting from the same list, unable to talk to each other until they meet up later. A naive approach  ""last person to write wins""  means whoever wrote  last  — by clock time — overwrites the other's changes entirely, even if their change was ""add butter"" and the other's was ""add milk."" One of those additions is silently lost. That's what LWW-Register does, and the DDIA page's LWW-Counter example shows exactly this failure: Device-B's real increment gets thrown away because Device-A's clock says it wrote later. A CRDT is designed differently:   the data structure itself is built so that merging two independently-edited copies, in any order, any number of times, produces a result any reasonable person would accept as ""both people's edits, combined.""   A CRDT counter doesn't store ""the count"" — it stores ""how much  each  replica contributed,"" and merging just takes the max  or sum  per replica. There's no moment where you decide a winner and a loser; the structure makes ""combine both"" the  only  possible outcome of a merge. The formal property that makes this work is that CRDT merge functions are commutative, associative, and idempotent — apply updates in any order  commutative , group them any way  associative , and apply the same update twice with no extra effect  idempotent . Any function with those three properties converges to the same result regardless of delivery order or duplication — which is exactly what an unreliable, unordered network gives you for free. Architecture: Divergence and Convergence Across Regions What this shows:   replicas accept writes independently while partitioned  no coordinator, no blocking , diverge in their local view, and then converge to the identical state once anti-entropy gossip has propagated — no matter which pair talked to which first, and safely even under duplicate delivery, because  merge   here, per-replica max/sum  is commutative, associative, and idempotent."
docs/architecture-patterns/distributed-transactions.md,definition/meta,2,0,1,1,"Why This Exists Sagas  sagas.md  tells you  not  to use two-phase commit for checkout, and moves on to compensations. That's the right call for payments-plus-carrier-APIs — but it skips the mechanics, and ""why not 2PC"" only lands if you've seen what 2PC actually  is , what it guarantees, and precisely where it breaks. This page is that: the protocol, the coordinator crash that makes it dangerous, 3PC's attempt to fix it, TCC as the pattern people reach for when they want atomicity without XA, and the narrow set of situations where a distributed transaction is still the right answer. The problem, stated precisely:   you have N participants  databases, message brokers, services  and you need   all-or-nothing   across them — not ""eventually all-or-nothing after compensations run,"" but every participant genuinely commits, or every participant genuinely aborts, with no window where the  final outcome  could differ between participants. Precisely what this guarantees, and what it doesn't:   2PC's atomic-commit guarantee is that participants never reach  conflicting  final decisions — it is never the case that participant A ends up committed while participant B, given the same protocol run, ends up aborted. It does   not   mean all participants become visibly committed at the same physical instant. Phase 2 sends the  COMMIT  message to each participant separately, and each executes its own local commit independently, in whatever order messages happen to arrive — participant A can finish committing and become visible to readers milliseconds  or, under a slow network, much longer  before participant B does. An outside observer querying A and B during that window sees exactly the partial-looking state this page's requirements list would seem to rule out: A already reflects the new balance, B still shows the old one — even though both  will  end up committed, and the protocol never risked one committing while the other aborted. Preventing that visibility gap  true global isolation across participants  needs coordination beyond atomic commit itself — e.g. a global lock held until every participant confirms, or routing all reads through a component that knows the transaction hasn't fully settled. 2PC alone buys you consistent  outcomes ; it doesn't buy you simultaneous  visibility . A single-database  BEGIN...COMMIT  gives you this for free via the DB's own WAL and locking. Across three databases, you need a protocol that makes participants agree — and that agreement is the entire hard part. !!! tip ""Mental Model"" 2PC is a wedding, not a saga's elopement-with-annulment-on-standby. Everyone stands at the altar    prepared  , locks held, ready to say ""I do""  and waits for the officiant    coordinator    to ask each in turn, collect every ""yes,"" and only then declare it official. If the officiant collapses mid-ceremony after collecting some ""yes""es but before announcing anything, everyone is stuck standing there — legally neither married nor free to leave — until someone revives the officiant or a very awkward protocol kicks in to sort it out. Two-Phase Commit  2PC Phase 1: Prepare  vote The coordinator asks every participant:  ""Can you commit this?""  Each participant does everything short of actually committing — validates constraints, writes to its own durable log,   acquires and holds every lock   it would need — then replies  YES   prepared, promise to commit if told  or  NO   abort . Phase 2: Commit or Abort  decide If   all   participants voted  YES , the coordinator durably logs ""commit"" and tells everyone to commit. If   any   voted  NO   or timed out , the coordinator tells everyone to abort. Participants obey unconditionally — a  YES  vote in phase 1 is a binding promise, not a suggestion."
docs/architecture-patterns/event-driven-architecture.md,definition/meta,2,1,0,1,"Why This Exists Start with the request/response version of ""a user places an order"": This works, and it's the wrong shape at scale.   Every new consumer of ""an order happened"" requires editing  place order  — add loyalty points, add fraud scoring, add a warehouse-capacity check, and  order service  now imports and calls five other services directly. It's coupled in both directions:  order service  needs to know every consumer that exists, and if  notification service  is slow or down,  place order  is slow or down too, even though a delayed confirmation email is not something that should block checkout. Event-driven architecture inverts this.    order service  doesn't call anyone — it publishes a fact, and anyone who cares subscribes to it. The trade being made  :  order service  no longer knows what happens after it publishes. That's the entire point — and it's also the entire cost. You've bought independent deployability and the ability to add new reactions without touching the source. You've paid for it with the one thing that made the request/response version easy to reason about:   you can no longer read the code and see the whole flow. Mental Model: Notification vs. State Transfer Not all events are the same shape, and conflating them is where most event-driven designs go wrong. Event Notification  : the event is a thin signal — ""something happened, here's an ID, come ask me for details if you need them."" Small payloads, but consumers now make a synchronous call back to the publisher to get details, which silently reintroduces the coupling and availability dependency you were trying to remove. Event-Carried State Transfer  : the event carries everything a typical consumer needs. No callback required. The cost: the publisher now has to think about what every consumer might need  payload design becomes an API contract , and you're duplicating data across services  the order's total now lives in payment-service's local copy too  — which means you've traded a live coupling for an eventual-consistency problem: what happens when the source updates and the copies don't? Choreography: The Coordination Problem Event-Driven Systems Inherit Sagas  sagas.md  already introduced choreography vs. orchestration for one specific use case  undoing a multi-step transaction . Event-driven architecture is choreography as the  default  coordination style for the whole system, not just failure recovery — which means the same trade-off shows up everywhere, not just in sagas. Nobody wrote this sequence down.   It emerged from five services each independently subscribing to the event that precedes their own reaction. This is the architecture's core tension:"
docs/architecture-patterns/event-sourcing-cqrs.md,definition/meta,2,1,0,1,"Why This Exists Problem 1: Write and read shapes don't match. Your write side:  user.update {email, phone, preferences}   → one Postgres table. Your read side: Homepage needs  user ID, name, profile pic, follower count, recent posts, badge . That's a join across 4 tables, and the follower count is expensive to compute. Add real-time search, and you need Elasticsearch denormalization. One table that optimizes writes breaks reads. A schema that optimizes reads locks you into that read shape — add a new dashboard that needs different fields, and you rewrite migrations. Problem 2: State transitions are implicit. You see  order.status = ""shipped"" . You don't see  why  — did the warehouse process it? Did the customer force a status change via a bug? Did it roll back from shipped to pending? At 3 a.m., you need the history. Postgres has that in WAL and CDC, but it's not in your application's mental model. Problem 3: Current state is a lossy projection. user.updated at = 2025-08-14  tells you  when , not what changed or why. You can't recompute old reports. You can't debug ""the system was consistent at T1 but not at T2"" without full audit logs. Mental Model: Events Are the Source of Truth Think of it like a bank ledger vs. a balance sheet. Ledger  Events :   Every transaction is recorded. You can:"
docs/architecture-patterns/index.md,scene/hook,3,1,1,1,"A pattern is a named response to a pressure you have already identified. If you cannot name the pressure, you do not get the box. Why This Exists Patterns are the most abused vocabulary in system design interviews. A candidate says ""I'd use CQRS with event sourcing and a saga orchestrator"" thirty seconds into a problem that has 100 users and no stated consistency requirement. That answer is worse than ""I'd use Postgres,"" because it demonstrates recall without judgment. Every pattern here   buys   something specific and   costs   something specific. The cost is almost always the same currency:   complexity, and a consistency guarantee you used to get for free.   A senior engineer names both sides of that trade before adopting a pattern. A mid-level engineer names only the benefit. The discipline:  identify the pressure, then earn the pattern. Mental Model: Patterns Are Answers to Pressures Read that table right-to-left and you get cargo cult. Read it left-to-right and every box in your design has a reason you can defend under questioning. !!! tip ""The question that separates levels"" For any pattern you propose, an interviewer will ask   ""what does this cost you?""   Have the answer ready: Saga  → no atomic rollback, you write compensations, and intermediate states are visible. CQRS  → the read model is stale by some window you must specify. Event sourcing  → schema evolution of old events is genuinely hard, and rebuilds get slow."
docs/architecture-patterns/microservices-communication.md,scene/hook,3,1,1,1,"!!! example ""Hypothetical order incident"" Checkout calls User and Inventory synchronously. Inventory slows from 40 ms to 4 s, checkout threads fill, and orders stop even though User and the database are healthy. Publishing everything as events would remove the wait but make confirmation and compensation harder. The communication pattern is earned by the latency and consistency the order flow can actually tolerate. Why This Exists Every in-process function call you split across a network boundary inherits three new failure modes it never had before: the call can be   slow  , it can   fail  , or it can   succeed on the far end while the response is lost   — meaning the caller can never fully distinguish ""it didn't happen"" from ""it happened but I don't know."" Every communication pattern on this page is a different answer to living with that ambiguity. ""Great system design isn't about memorizing eight patterns"" — it's picking the cheapest one that matches the actual coupling requirement, and being able to say why the other seven were wrong for this call. !!! tip ""Mental model"" Two independent axes decide the pattern:   synchronous vs. asynchronous    does the caller block for an answer?  and   one consumer vs. many    point-to-point vs. broadcast . Everything below is a point in that 2x2, plus two patterns  saga, service mesh  that sit a layer above individual calls. Synchronous: Request/Response REST over HTTP   — caller sends a request, blocks, gets a response. The default for anything user-facing: CRUD APIs, mobile/web clients, anywhere an immediate answer is the point. Cost:   both services must be up and responsive  at the same instant . If the callee is slow, the caller is slow — and without a timeout and circuit breaker  see  Circuit Breakers  ../reliability/circuit-breakers.md  , one slow dependency turns into a thread-pool exhaustion cascade across every caller. gRPC   is the same synchronous shape with a different wire format: Protocol Buffers over HTTP/2 instead of JSON over HTTP/1.1. Smaller payloads, lower latency, and a strongly-typed schema contract   .proto  files  — the trade is weaker browser support and a debugging experience that needs  grpcurl /reflection instead of  curl  and eyeballing JSON. The default choice for internal service-to-service calls at scale; REST remains the default for anything a browser or third party talks to directly. Asynchronous, One Consumer: Message Queue"
